"1","Cowboy Bebop","Action, Adventure, Comedy, Drama, Sci-Fi, Space","TV","26","8.82","486824","https://myanimelist.cdn-dena.com/images/anime/4/19644.jpg"
"5","Cowboy Bebop: Tengoku no Tobira","Action, Drama, Mystery, Sci-Fi, Space","Movie","1","8.40","137636","https://myanimelist.cdn-dena.com/images/anime/6/14331.jpg"
"6","Trigun","Action, Comedy, Sci-Fi","TV","26","8.32","283069","https://myanimelist.cdn-dena.com/images/anime/7/20310.jpg"
"7","Witch Hunter Robin","Action, Drama, Magic, Mystery, Police, Supernatural","TV","26","7.36","64905","https://myanimelist.cdn-dena.com/images/anime/1796/91065.jpg"
"8","Beet the Vandel Buster","Adventure, Fantasy, Shounen, Supernatural","TV","52","7.06","9848","https://myanimelist.cdn-dena.com/images/anime/7/21569.jpg"
"15","Eyeshield 21","Action, Comedy, Shounen, Sports","TV","145","8.08","83648","https://myanimelist.cdn-dena.com/images/anime/12/66961.jpg"
"16","Hachimitsu to Clover","Comedy, Drama, Josei, Romance","TV","24","8.18","130646","https://myanimelist.cdn-dena.com/images/anime/11/73923.jpg"
"17","Hungry Heart: Wild Striker","Comedy, Shounen, Slice of Life, Sports","TV","52","7.74","13469","https://myanimelist.cdn-dena.com/images/anime/12/49655.jpg"
"18","Initial D Fourth Stage","Action, Cars, Drama, Seinen, Sports","TV","24","8.24","41584","https://myanimelist.cdn-dena.com/images/anime/12/43927.jpg"
"19","Monster","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","TV","74","8.72","247562","https://myanimelist.cdn-dena.com/images/anime/10/18793.jpg"
"20","Naruto","Action, Comedy, Martial Arts, Shounen, Super Power","TV","220","7.81","683297","https://myanimelist.cdn-dena.com/images/anime/13/17405.jpg"
"21","One Piece","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power","TV","Unknown","8.58","504862","https://myanimelist.cdn-dena.com/images/anime/6/73245.jpg"
"22","Prince of Tennis","Action, Comedy, School, Shounen, Sports","TV","178","8.04","87643","https://myanimelist.cdn-dena.com/images/anime/6/21624.jpg"
"23","Ring ni Kakero 1","Action, Shounen, Sports","TV","12","6.70","2224","https://myanimelist.cdn-dena.com/images/anime/5/53487.jpg"
"24","School Rumble","Comedy, Romance, School, Shounen","TV","26","8.06","178553","https://myanimelist.cdn-dena.com/images/anime/4/75488.jpg"
"25","Sunabouzu","Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen","TV","24","7.55","65516","https://myanimelist.cdn-dena.com/images/anime/6/75536.jpg"
"26","Texhnolyze","Action, Drama, Psychological, Sci-Fi","TV","22","7.78","95859","https://myanimelist.cdn-dena.com/images/anime/3/18165.jpg"
"27","Trinity Blood","Action, Supernatural, Vampire","TV","24","7.44","113791","https://myanimelist.cdn-dena.com/images/anime/10/24649.jpg"
"28","Yakitate!! Japan","Comedy, Shounen","TV","69","8.05","50876","https://myanimelist.cdn-dena.com/images/anime/3/76432.jpg"
"29","Zipang","Action, Drama, Historical, Military, Sci-Fi, Seinen","TV","26","7.56","8630","https://myanimelist.cdn-dena.com/images/anime/13/75740.jpg"
